quote,author,tags,likes
"“Do what you can, with what you have, where you are.”",Theodore Roosevelt,['inspirational'],23155
"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley,['music'],22984
“There is no friend as loyal as a book.”,Ernest Hemingway,"['books', 'friends', 'novelist-quotes']",22902
"“I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.”",Groucho Marx,"['books', 'humor', 'reading', 'television']",22594
“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa,"['misattributed-to-mother-teresa', 'paraphrased']",22547
“The story so far:In the beginning the Universe was created.This has made a lot of people very angry and been widely regarded as a bad move.”,"Douglas Adams,","['humor', 'scifi']",22427
"“Love is like the wind, you can't see it but you can feel it.”","Nicholas Sparks,","['love', 'simile']",22362
"“Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.”",Shel Silverstein,"['anything-can-be', 'hope', 'impossible', 'inspirational', 'musn-t', 'possibilities', 'shouldn-t', 'won-t']",22263
"“If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.”","Joan Powers,","['friendship', 'misattributed-a-a-milne']",22255
"“Success is not final, failure is not fatal: it is the courage to continue that counts.”",Winston S. Churchill,"['bravery', 'courage', 'failure', 'inspirational', 'success']",22203
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller,['inspirational'],22178
"“Saying 'I notice you're a nerd' is like saying, 'Hey, I notice that you'd rather be intelligent than be stupid, that you'd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact, it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah, whatever, so does 50 Cent, and he's done all right for himself.”",John Green,"['humor', 'nerdfighters']",21993
"“It matters not what someone is born, but what they grow to be.”","J.K. Rowling,",['dumbledore'],21768
"“People think a soul mate is your perfect fit, and that's what everyone wants. But a true soul mate is a mirror, the person who shows you everything that is holding you back, the person who brings you to your own attention so you can change your life. A true soul mate is probably the most important person you'll ever meet, because they tear down your walls and smack you awake. But to live with a soul mate forever? Nah. Too painful. Soul mates, they come into your life just to reveal another layer of yourself to you, and then leave. A soul mates purpose is to shake you up, tear apart your ego a little bit, show you your obstacles and addictions, break your heart open so new light can get in, make you so desperate and out of control that you have to transform your life, then introduce you to your spiritual master...”","Elizabeth Gilbert,",['love'],21756
"“You don't love someone because they're perfect, you love them in spite of the fact that they're not.”","Jodi Picoult,","['imperfect', 'love']",21589
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,"['life', 'simile']",21577
"“So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.”","Stephen Chbosky,","['charlie', 'favourite-books', 'inspirational', 'sad', 'soul-searching', 'wallflower']",21544
“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas-fils,['misattributed-to-einstein'],21453
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”","Jane Austen,","['friendship', 'love']",21402
“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,['humor'],21333
"“You don’t have a soul, Doctor. You are a soul. You have a body, temporarily.”","Walter M. Miller Jr.,","['body-soul', 'misattributed-to-c-s-lewis']",21277
"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,"['attributed-no-source', 'girls', 'love']",21244
